# Active Galactic Nuclei Jets as the Origin of Ultrahigh-Energy Cosmic Rays and Perspectives for the Detection of Astrophysical Source Neutrinos at EeV Energies
# Xavier Rodrigues, Jonas Heinze, Andrea Palladino, Arjen van Vliet, and Walter Winter
# Phys. Rev. Lett. 126, 191101, Figure 2, top right
##Energy [GeV],   E**2*Flux [GeV cm^-2 s^-1 sr^-1] (All flavors)

20082.52827, 4.9614657765118134e-11
32777.05728, 9.482437742536052e-11
50695.26182, 1.68449606188936e-10
79813.80206, 2.9481528757119354e-10
132686.73379, 4.983334045434888e-10
230214.85026, 7.8359201179723e-10
405370.81232, 1.12844396956591e-09
751789.78568, 1.376290144689354e-09
1371954.33519, 1.5115064334061347e-09
2517367.29124, 1.6957038257531906e-09
4576864.24219, 2.1163622191688517e-09
7834688.1972, 3.2278251416129206e-09
12820647.27968, 5.237813130041992e-09
21555512.33983, 8.909841945125769e-09
36657510.89262, 1.4171310051856336e-08
65156459.76728, 1.912097351766235e-08
123072004.07178, 2.1817249589883e-08
224486479.25939, 1.8679704426440856e-08
407693734.51046, 1.2441421394182706e-08
661379251.15217, 7.373777010131516e-09
995495888.78028, 3.6737533914270984e-09
1381671286.44698, 1.8194913698658187e-09
1848468391.16367, 8.484573183169432e-10
2367544328.25994, 3.826572975035596e-10
2932169505.68516, 1.6540932904195307e-10
3589162373.03154, 6.665918507505085e-11
4147396114.76156, 2.9016832315212773e-11
4855616676.2889, 1.1709544462438702e-11
5503007503.74704, 4.916544790414757e-12
6285548893.8952, 2.1260819479160353e-12
7010017489.89244, 1.039800447487145e-12
